zip,State,County
16023,42,19
16050,42,19
16131,42,39
16125,42,85
16117,42,73
15963,42,21
15905,42,21
15920,42,63
16137,42,85
16150,42,85
16134,42,85
16145,42,85
16364,42,121
16350,42,123
16401,42,49
16371,42,123
16420,42,123
16428,42,49
16423,42,49
16404,42,39
16254,42,31
16239,42,53
16510,42,49
16686,42,13
16695,42,9
16656,42,33
16673,42,13
16841,42,27
16833,42,33
16826,42,27
16827,42,27
16858,42,33
16639,42,21
16655,42,9
17032,42,43
17025,42,41
17020,42,99
17037,42,99
17043,42,41
17061,42,43
17011,42,41
16917,42,117
16923,42,105
17090,42,99
17257,42,41
17307,42,1
17264,42,61
17213,42,61
17401,42,133
17365,42,133
17557,42,71
17581,42,71
17751,42,35
17752,42,81
17723,42,81
17737,42,81
17552,42,71
17550,42,71
17545,42,71
17555,42,71
17519,42,71
17801,42,97
17821,42,37
18018,42,95
18036,42,17
17870,42,109
17856,42,119
17851,42,97
17841,42,87
18210,42,25
18216,42,79
18372,42,89
18302,42,89
18328,42,103
18326,42,89
18074,42,91
18435,42,103
18444,42,69
18428,42,127
18445,42,127
18421,42,115
18424,42,79
18657,42,131
18651,42,79
18641,42,79
18619,42,113
18704,42,79
18824,42,115
18812,42,115
18825,42,115
18518,42,69
18508,42,69
18510,42,69
19508,42,11
18832,42,15
19506,42,11
18840,42,15
19504,42,91
19505,42,11
18902,42,17
18914,42,17
18923,42,17
18940,42,17
18969,42,17
19533,42,11
19560,42,11
19534,42,11
19551,42,71
19012,42,91
19013,42,45
19001,42,91
19015,42,45
19046,42,91
19050,42,45
19087,42,45
19070,42,45
19081,42,45
19073,42,45
19104,42,101
19095,42,91
19136,42,101
19128,42,101
19144,42,101
19146,42,101
19317,42,45
19150,42,101
19464,42,91
19365,42,29
20319,11,1
20037,11,1
20376,11,1
20024,11,1
20030,11,1
20637,24,17
20714,24,9
20715,24,33
20737,24,33
20850,24,31
20854,24,31
20876,24,31
20905,24,31
20898,24,31
21040,24,25
21074,24,13
21048,24,13
21009,24,25
21010,24,25
21076,24,27
21076,24,3
21153,24,5
21229,24,510
21230,24,510
21401,24,3
21223,24,510
21221,24,5
21224,24,5
21545,24,1
21539,24,1
21702,24,21
21668,24,35
21742,24,43
21771,24,13
21774,24,21
21756,24,43
21750,24,43
21632,24,11
21647,24,41
21619,24,35
21632,24,19
21788,24,21
21911,24,15
20108,51,683
20121,51,59
20135,51,107
21837,24,45
21826,24,45
20169,51,153
20170,51,59
20164,51,107
20171,51,59
22042,51,59
22150,51,59
22124,51,59
22172,51,153
22003,51,59
22015,51,59
20194,51,59
22009,51,59
22603,51,69
22209,51,13
22712,51,61
22714,51,47
22645,51,69
22724,51,47
22560,51,57
22520,51,193
22553,51,177
22556,51,179
22560,51,97
22812,51,15
22801,51,165
22443,51,193
22408,51,177
22454,51,57
23076,51,115
23047,51,85
23113,51,41
23103,51,75
23089,51,127
23117,51,109
23114,51,41
23092,51,119
22980,51,820
22952,51,15
22960,51,113
23188,51,95
23181,51,127
23231,51,760
23234,51,41
23236,51,41
23314,51,93
23294,51,87
23238,51,87
23227,51,87
23226,51,760
23323,51,550
23432,51,800
23462,51,810
23435,51,800
23601,51,700
23669,51,650
23844,51,175
23824,51,135
23805,51,149
23841,51,53
23875,51,149
23851,51,175
23888,51,181
23883,51,181
23701,51,740
23954,51,147
23966,51,147
23919,51,117
24054,51,89
24060,51,121
24065,51,67
24439,51,163
24422,51,5
24486,51,165
24091,51,67
24095,51,19
24104,51,19
24171,51,141
24228,51,51
24230,51,51
24248,51,105
24202,51,169
24124,51,21
24128,51,71
24120,51,141
24312,51,35
24258,51,169
24504,51,31
24541,51,590
24563,51,143
24551,51,31
24565,51,143
24986,54,25
24874,54,109
24901,54,25
24970,54,25
24935,54,89
24566,51,143
24613,51,185
24590,51,29
25009,54,5
25011,54,79
25411,54,65
25403,54,3
25309,54,39
25320,54,39
25306,54,39
25265,54,53
25181,54,5
25268,54,13
25204,54,5
25261,54,13
25541,54,11
25434,54,65
25508,54,45
25535,54,99
25501,54,43
25506,54,43
25868,54,19
25918,54,81
25811,54,109
25981,54,67
25701,54,11
25570,54,99
25676,54,59
26201,54,97
26203,54,101
26201,54,41
26234,54,97
26405,54,1
26374,54,77
26415,54,85
26447,54,41
26378,54,33
26372,54,41
26554,54,49
26330,54,33
26260,54,93
26570,54,49
26562,54,103
26710,54,57
27011,37,197
27018,37,197
27030,37,171
27040,37,67
27048,37,157
