,COUNTY,Battery Electric % Unadj,Battery Electric % adj,Hybrid Gasoline % Unadj,Hybrid Gasoline % adj,Plug Electric % Unadj,Plug Electric % adj,% Unadj Low Emission,% Adj Low Emission
0,1,0.015330633895873448,0.0153388981549519,0.05224496923018839,0.051540045591621925,0.015330633895873448,0.0153388981549519,0.08290623702193528,0.08221784190152573
1,3,0.0017793594306049821,0.001364178934803615,0.016459074733096084,0.016483828795543682,0.0017793594306049821,0.001364178934803615,0.02001779359430605,0.01921218666515091
2,5,0.0011972187687065432,0.0011485900471156325,0.01724455495694617,0.01708820702749584,0.0011972187687065432,0.0011485900471156325,0.019638992494359256,0.019385387121727105
3,7,0.0013704888076747374,0.0014538312918056203,0.022598168709158442,0.023631134944875565,0.0013704888076747374,0.0014538312918056203,0.025339146324507913,0.026538797528486806
4,9,0.0015866790273122728,0.0015488630959266828,0.01836268986664765,0.018612064422421876,0.0015866790273122728,0.0015488630959266828,0.021536047921272193,0.021709790614275245
5,11,0.0010636883393165802,0.0011595030191674767,0.01028232061339361,0.01025714209263537,0.0010636883393165802,0.0011595030191674767,0.01240969729202677,0.012576148130970324
6,13,0.010692044927393621,0.010216134751863051,0.047635782597897955,0.04619392382111663,0.010692044927393621,0.010216134751863051,0.06901987245268519,0.06662619332484274
7,15,0.0012324377618930244,0.0012324377618930244,0.015528715799852107,0.015528715799852107,0.0012324377618930244,0.0012324377618930244,0.017993591323638154,0.017993591323638154
8,17,0.004612834807199731,0.0046176509195922,0.026854116201713008,0.026903723582690373,0.004612834807199731,0.0046176509195922,0.03607978581611247,0.036139025421874776
9,19,0.0037429220384529254,0.0037059927854405706,0.017450278667569825,0.017659587848446835,0.0037429220384529254,0.0037059927854405706,0.024936122744475674,0.02507157341932798
10,21,0.0005834305717619603,0.0005798855356377481,0.01028296382730455,0.010185815495550008,0.0005834305717619603,0.0005798855356377481,0.01144982497082847,0.011345586566825504
11,23,0.0031339549299188806,0.003128553937054192,0.027080140941398507,0.027128658512673258,0.0031339549299188806,0.003128553937054192,0.03334805080123627,0.03338576638678164
12,25,0.0007590828185530311,0.0007614306941804534,0.008732069940320386,0.008671218203875909,0.0007590828185530311,0.0007614306941804534,0.010250235577426447,0.010194079592236815
13,27,0.0016964635260341902,0.0022136072428291997,0.016094653964939754,0.015518675115072435,0.0016964635260341902,0.0022136072428291997,0.019487581017008135,0.019945889600730835
14,29,0.0016522693215176927,0.0017109375510699154,0.014651955374163752,0.01460093013526399,0.0016522693215176927,0.0017109375510699154,0.017956494017199138,0.01802280523740382
15,31,0.0018147119464276586,0.0018502431074656207,0.013606079711009253,0.014150403383301676,0.0018147119464276586,0.0018502431074656207,0.01723550360386457,0.017850889598232916
16,33,0.0015432317254463338,0.0015468961349181223,0.018334725545440387,0.01834690764670331,0.0015432317254463338,0.0015468961349181223,0.021421188996333055,0.021440699916539553
17,35,0.00035609999287800016,0.00032375166181039175,0.007050779858984403,0.006964104895538427,0.00035609999287800016,0.00032375166181039175,0.007762979844740402,0.0076116082191592105
18,37,0.007002612952596958,0.00697402445363062,0.03859371909726613,0.038630739229383815,0.007002612952596958,0.00697402445363062,0.05259894500246005,0.05257878813664506
19,39,0.0018873426539439792,0.0018858740076965707,0.015025839583974597,0.01533191076387082,0.0018873426539439792,0.0018858740076965707,0.018800524891862555,0.01910365877926396
20,41,0.016583311397736247,0.016945795602654423,0.06571506058213086,0.06663315983610049,0.016583311397736247,0.016945795602654423,0.09888168337760336,0.10052475104140934
21,43,0.0015226011102299761,0.001470726062851911,0.016938937351308487,0.017201727382179708,0.0015226011102299761,0.001470726062851911,0.01998413957176844,0.020143179507883528
22,45,0.003274717822021993,0.0031962990221848387,0.02623649663324129,0.026358952791504575,0.003274717822021993,0.0031962990221848387,0.032785932277285275,0.03275155083587425
23,47,0.0013146648371233753,0.001305109713585162,0.014484310260901561,0.014838530004457381,0.0013146648371233753,0.001305109713585162,0.01711363993514831,0.017448749431627705
24,49,0.0007095553453169347,0.0006828894551874614,0.00717439293598234,0.007478472326321225,0.0007095553453169347,0.0006828894551874614,0.008593503626616211,0.008844251236696148
25,51,0.0012360939431396785,0.0013117188466773913,0.013706100487166436,0.012993441405766613,0.0012360939431396785,0.0013117188466773913,0.016178288373445794,0.015616879099121395
26,53,0.0030928808079243577,0.0032360848590381294,0.02462688192600803,0.025536399852004465,0.0030928808079243577,0.0032360848590381294,0.030812643541856748,0.032008569570080726
27,55,0.005756451602044045,0.0060978355498183786,0.03595930760996169,0.036894719462039566,0.005756451602044045,0.0060978355498183786,0.04747221081404977,0.04909039056167633
28,57,0.0033751512449850347,0.00323608754296654,0.028174780069322513,0.029050457584591512,0.0033751512449850347,0.00323608754296654,0.03492508255929258,0.03552263267052459
29,59,0.009736467674297615,0.009839871644398077,0.03510765738548705,0.03516303295435235,0.009736467674297615,0.009839871644398077,0.054580592734082285,0.054842776243148504
30,61,0.006477032068027649,0.0066022035833750775,0.031836897044753336,0.03227364127789794,0.006477032068027649,0.0066022035833750775,0.04479096118080863,0.045478048444648096
31,63,0.0006508062766649794,0.0006744604316546761,0.008532793405163063,0.0085704163941574,0.0006508062766649794,0.0006744604316546761,0.009834405958493022,0.009919337257466751
32,65,0.003044972458133569,0.0030565645445924062,0.025037590016836603,0.025168555724081984,0.003044972458133569,0.0030565645445924062,0.031127534933103742,0.0312816848132668
