Column1,ZCTA5,STATE,COUNTY,Column2,Column3
41045,90305,6,37,Los Angeles,Los Angeles - 90305
41046,90401,6,37,Los Angeles,Los Angeles - 90401
41047,90402,6,37,Los Angeles,Los Angeles - 90402
41048,90403,6,37,Los Angeles,Los Angeles - 90403
41049,90404,6,37,Los Angeles,Los Angeles - 90404
41050,90405,6,37,Los Angeles,Los Angeles - 90405
41051,90501,6,37,Los Angeles,Los Angeles - 90501
41052,90502,6,37,Los Angeles,Los Angeles - 90502
41053,90503,6,37,Los Angeles,Los Angeles - 90503
41054,90504,6,37,Los Angeles,Los Angeles - 90504
41055,90505,6,37,Los Angeles,Los Angeles - 90505
41056,90506,6,37,Los Angeles,Los Angeles - 90506
41057,90601,6,37,Los Angeles,Los Angeles - 90601
41058,90602,6,37,Los Angeles,Los Angeles - 90602
41059,90603,6,37,Los Angeles,Los Angeles - 90603
41060,90604,6,37,Los Angeles,Los Angeles - 90604
41061,90605,6,37,Los Angeles,Los Angeles - 90605
41062,90606,6,37,Los Angeles,Los Angeles - 90606
41063,90620,6,59,Orange,Orange - 90620
41064,90621,6,59,Orange,Orange - 90621
41065,90623,6,37,Los Angeles,Los Angeles - 90623
41066,90623,6,59,Orange,Orange - 90623
41067,90630,6,37,Los Angeles,Los Angeles - 90630
41068,90630,6,59,Orange,Orange - 90630
41069,90631,6,37,Los Angeles,Los Angeles - 90631
41070,90631,6,59,Orange,Orange - 90631
41071,90638,6,37,Los Angeles,Los Angeles - 90638
41072,90638,6,59,Orange,Orange - 90638
41073,90640,6,37,Los Angeles,Los Angeles - 90640
41074,90650,6,37,Los Angeles,Los Angeles - 90650
41075,90660,6,37,Los Angeles,Los Angeles - 90660
41076,90670,6,37,Los Angeles,Los Angeles - 90670
41077,90680,6,59,Orange,Orange - 90680
41078,90701,6,37,Los Angeles,Los Angeles - 90701
41079,90703,6,37,Los Angeles,Los Angeles - 90703
41080,90704,6,37,Los Angeles,Los Angeles - 90704
41081,90706,6,37,Los Angeles,Los Angeles - 90706
41082,90710,6,37,Los Angeles,Los Angeles - 90710
41083,90712,6,37,Los Angeles,Los Angeles - 90712
41084,90713,6,37,Los Angeles,Los Angeles - 90713
41085,90715,6,37,Los Angeles,Los Angeles - 90715
41086,90716,6,37,Los Angeles,Los Angeles - 90716
41087,90717,6,37,Los Angeles,Los Angeles - 90717
41088,90720,6,59,Orange,Orange - 90720
41089,90723,6,37,Los Angeles,Los Angeles - 90723
41090,90731,6,37,Los Angeles,Los Angeles - 90731
41091,90732,6,37,Los Angeles,Los Angeles - 90732
41092,90740,6,37,Los Angeles,Los Angeles - 90740
41093,90740,6,59,Orange,Orange - 90740
41094,90742,6,59,Orange,Orange - 90742
41095,90743,6,59,Orange,Orange - 90743
41096,90744,6,37,Los Angeles,Los Angeles - 90744
41097,90745,6,37,Los Angeles,Los Angeles - 90745
41098,90746,6,37,Los Angeles,Los Angeles - 90746
41099,90747,6,37,Los Angeles,Los Angeles - 90747
41100,90755,6,37,Los Angeles,Los Angeles - 90755
41101,90802,6,37,Los Angeles,Los Angeles - 90802
41102,90803,6,37,Los Angeles,Los Angeles - 90803
41103,90804,6,37,Los Angeles,Los Angeles - 90804
41104,90805,6,37,Los Angeles,Los Angeles - 90805
41105,90806,6,37,Los Angeles,Los Angeles - 90806
41106,90807,6,37,Los Angeles,Los Angeles - 90807
41107,90808,6,37,Los Angeles,Los Angeles - 90808
41108,90810,6,37,Los Angeles,Los Angeles - 90810
41109,90813,6,37,Los Angeles,Los Angeles - 90813
41110,90814,6,37,Los Angeles,Los Angeles - 90814
41111,90815,6,37,Los Angeles,Los Angeles - 90815
41112,90815,6,59,Orange,Orange - 90815
41113,90822,6,37,Los Angeles,Los Angeles - 90822
41114,90831,6,37,Los Angeles,Los Angeles - 90831
41115,91001,6,37,Los Angeles,Los Angeles - 91001
41116,91006,6,37,Los Angeles,Los Angeles - 91006
41117,91007,6,37,Los Angeles,Los Angeles - 91007
41118,91008,6,37,Los Angeles,Los Angeles - 91008
41119,91010,6,37,Los Angeles,Los Angeles - 91010
41120,91011,6,37,Los Angeles,Los Angeles - 91011
41121,91016,6,37,Los Angeles,Los Angeles - 91016
41122,91020,6,37,Los Angeles,Los Angeles - 91020
41123,91024,6,37,Los Angeles,Los Angeles - 91024
41124,91030,6,37,Los Angeles,Los Angeles - 91030
41125,91040,6,37,Los Angeles,Los Angeles - 91040
41126,91042,6,37,Los Angeles,Los Angeles - 91042
41127,91046,6,37,Los Angeles,Los Angeles - 91046
41128,91101,6,37,Los Angeles,Los Angeles - 91101
41129,91103,6,37,Los Angeles,Los Angeles - 91103
41130,91104,6,37,Los Angeles,Los Angeles - 91104
