,ZCTA5,STATE,COUNTY
41249,91780,6,37
41250,91784,6,71
41251,91786,6,71
41252,91789,6,37
41253,91790,6,37
41254,91791,6,37
41255,91792,6,37
41256,91801,6,37
41257,91803,6,37
41258,91901,6,73
41259,91902,6,73
41260,91905,6,73
41261,91906,6,73
41262,91910,6,73
41263,91911,6,73
41264,91913,6,73
41265,91914,6,73
41266,91915,6,73
41267,91916,6,73
41268,91917,6,73
41269,91931,6,73
41270,91932,6,73
41271,91934,6,73
41272,91935,6,73
41273,91941,6,73
41274,91942,6,73
41275,91945,6,73
41276,91948,6,73
41277,91950,6,73
41278,91962,6,73
41279,91963,6,73
41280,91977,6,73
41281,91978,6,73
41282,91980,6,73
41283,92003,6,73
41284,92004,6,25
41285,92004,6,73
41286,92007,6,73
41287,92008,6,73
41288,92009,6,73
41289,92010,6,73
41290,92011,6,73
41291,92014,6,73
41292,92019,6,73
41293,92020,6,73
41294,92021,6,73
41295,92024,6,73
41296,92025,6,73
41297,92026,6,73
41298,92027,6,73
41299,92028,6,65
41300,92028,6,73
41301,92029,6,73
41302,92036,6,73
41303,92037,6,73
41304,92040,6,73
41305,92054,6,73
41306,92055,6,73
41307,92056,6,73
41308,92057,6,73
41309,92058,6,73
41310,92059,6,73
41311,92060,6,73
41312,92061,6,73
41313,92064,6,73
41314,92065,6,73
41315,92066,6,73
41316,92067,6,73
41317,92069,6,73
41318,92070,6,73
41319,92071,6,73
41320,92075,6,73
41321,92078,6,73
41322,92081,6,73
41323,92082,6,73
41324,92083,6,73
41325,92084,6,73
41326,92086,6,73
41327,92091,6,73
41328,92101,6,73
41329,92102,6,73
41330,92103,6,73
41331,92104,6,73
41332,92105,6,73
41333,92106,6,73
41334,92107,6,73
41335,92108,6,73
41336,92109,6,73
41337,92110,6,73
41338,92111,6,73
41339,92113,6,73
41340,92114,6,73
41341,92115,6,73
41342,92116,6,73
41343,92117,6,73
41344,92118,6,73
41345,92119,6,73
41346,92120,6,73
41347,92121,6,73
41348,92122,6,73
41349,92123,6,73
41350,92124,6,73
41351,92126,6,73
41352,92127,6,73
41353,92128,6,73
41354,92129,6,73
41355,92130,6,73
41356,92131,6,73
41357,92132,6,73
41358,92134,6,73
41359,92135,6,73
41360,92139,6,73
41361,92140,6,73
41362,92145,6,73
41363,92147,6,73
